droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
62,True,False,348,251,0.99894683560745,0.8551068628769272,3.2752877920252474e-05,1.5051293554399812e-05,1.4258580508799482e-07,1.0121688641045696e-06,443.0,5.101540824180094e-07,1.5126064954940063e-05,9.417633172801637e-20,2.066810723663828e-21,0.5878024290798413
63,True,True,313,84,0.9979744451646756,0.997111070007619,2.134239734380544e-05,3.9285516370072366e-05,1.4315347744807746e-07,3.9481335016613524e-07,650.0,4.026887818173109e-07,1.4463338675893206e-05,6.14397907071876e-20,5.821051295553681e-22,0.3834770112318815
64,True,True,115,91,0.9995283567311573,0.9852670775639298,5.7296093207317015e-05,2.1717723916803783e-05,2.696959843330779e-07,5.919195652296518e-07,677.0,6.904177681619529e-07,1.583695212165027e-05,1.4432790611856116e-19,1.4099445034743195e-21,0.9008239357369205
65,True,False,263,12,0.998523437373486,0.930752567112756,6.195798536665163e-05,1.1185290936799326e-05,4.15304834920332e-07,1.0250179134135736e-06,638.0,7.199223698456882e-07,1.5923801084348928e-05,1.4864096521590813e-19,2.5349435028694548e-21,0.9277439332316972
66,True,True,184,184,0.9992209068144958,0.9939525313261288,3.294609269148641e-05,2.1216340333892932e-05,1.4297251845433385e-07,2.7785302251703174e-07,292.0,5.117978513627438e-07,1.513441698053082e-05,1.6249194633871444e-19,1.21258576724671e-21,1.0141949575998774
67,True,False,41,21,0.9971190152015398,0.9767242481472662,3.862803313150712e-05,3.688293118503741e-05,4.095189799670868e-07,1.5706247350306055e-06,600.0,5.581639748637391e-07,1.535301608748287e-05,1.2197382616014388e-19,2.935222962601666e-21,0.7613007428252376
68,True,False,90,100,0.997990063414667,0.9716699565438618,5.90780609297437e-05,1.34968946710238e-05,7.04281925709887e-07,5.854023153184439e-07,600.0,7.018317961277085e-07,1.5871301506482867e-05,1.5238193486166887e-19,2.856311117957847e-21,0.9510932292229951
69,True,True,41,24,0.9915258243422198,0.9888385403592184,2.7642604111020483e-05,5.30143081244251e-05,6.643369794356062e-07,9.106753398681804e-07,600.0,4.6478863758701464e-07,1.48766363107544e-05,1.0512426288539669e-19,2.7821814713381316e-21,0.6561340407452022
70,True,True,46,36,0.98944109196346,0.990395808988696,2.464745665474103e-05,5.890824871271663e-05,6.554976118704911e-07,1.169120395550217e-06,600.0,4.3624942655493886e-07,1.4698408778642047e-05,1.0099094206392165e-19,2.9334479953808493e-21,0.6303358813303082
71,True,False,65,28,0.9949743683688468,0.6981926612999071,3.3851443739641235e-05,1.4684103923924164e-05,5.413542070453594e-07,3.132258478958631e-06,600.0,5.194372486683517e-07,1.517265832619605e-05,7.210341344011911e-20,4.901651229817257e-21,0.45003410928609955
72,True,False,42,58,0.9867334782651928,0.8383949946804283,2.8953777460197097e-05,5.812680660686007e-05,9.585187948702338e-07,6.988334566392184e-06,600.0,4.7679876753220076e-07,1.494643820658456e-05,1.1697560268247351e-19,1.0128901021166799e-20,0.7301042856331752
73,False,True,12,40,0.7796817527778162,0.9952172786615124,6.150650238892279e-06,8.023191255214734e-05,1.1276176787548156e-06,1.3926524720724484e-06,600.0,1.9585076309948083e-07,1.1871407135702019e-05,3.7857739212854333e-20,6.18830523625001e-21,0.2362894228355994
74,True,True,85,62,0.9990072803740748,0.9910137856950793,4.958920874172568e-05,2.7522981513386736e-05,2.77891446707604e-07,6.82159338846813e-07,600.0,6.388884957858529e-07,1.5668796934393974e-05,1.4550733349080118e-19,1.6459060510355953e-21,0.9081853423834241
75,True,False,109,59,0.9980477614933508,0.9507342394913691,3.0722294373991554e-05,8.312429781651898e-05,2.6462975543234485e-07,2.696452123817177e-06,600.0,4.925796299538789e-07,1.5033909960641966e-05,1.5891670485796408e-19,3.967008902678781e-21,0.9918800554543856
